t,x,w
5/2/12 0:01,0,0
5/2/12 0:02,0,0
5/2/12 0:03,0,0
5/2/12 0:04,0,0
5/2/12 0:05,0,0
5/2/12 0:06,0,0
5/2/12 0:07,0,0
5/2/12 0:08,0,0
5/2/12 0:09,0,0
5/2/12 0:10,0,0
5/2/12 0:11,0,0
5/2/12 0:12,0,0
5/2/12 0:13,0,0
5/2/12 0:14,0,0
5/2/12 0:15,0,0
5/2/12 0:16,0,0
5/2/12 0:17,0,0
5/2/12 0:18,0,0
5/2/12 0:19,0,0
5/2/12 0:20,0,0
5/2/12 0:21,0,0
5/2/12 0:22,0,0
5/2/12 0:23,0,0
5/2/12 0:24,0,0
5/2/12 0:25,0,0
5/2/12 0:26,0,0
5/2/12 0:27,0,0
5/2/12 0:28,0,0
5/2/12 0:29,0,0
5/2/12 0:30,0,0
5/2/12 0:31,0,0
5/2/12 0:32,0,0
5/2/12 0:33,0,0
5/2/12 0:34,0,0
5/2/12 0:35,0,0
5/2/12 0:36,0,0
5/2/12 0:37,0,0
5/2/12 0:38,0,0
5/2/12 0:39,0,0
5/2/12 0:40,0,0
5/2/12 0:41,0,0
5/2/12 0:42,0,0
5/2/12 0:43,0,0
5/2/12 0:44,0,0
5/2/12 0:45,0,0
5/2/12 0:46,0,0
5/2/12 0:47,0,0
5/2/12 0:48,0,0
5/2/12 0:49,0,0
5/2/12 0:50,0,0
5/2/12 0:51,0,0
5/2/12 0:52,0,0
5/2/12 0:53,0,0
5/2/12 0:54,0,0
5/2/12 0:55,0,0
5/2/12 0:56,0,0
5/2/12 0:57,0,0
5/2/12 0:58,0,0
5/2/12 0:59,0,0
5/2/12 1:00,0,0
5/2/12 1:01,0,0
5/2/12 1:02,0,0
5/2/12 1:03,0,0
5/2/12 1:04,0,0
5/2/12 1:05,0,0
5/2/12 1:06,0,0
5/2/12 1:07,0,0
5/2/12 1:08,0,0
5/2/12 1:09,0,0
5/2/12 1:10,0,0
5/2/12 1:11,0,0
5/2/12 1:12,0,0
5/2/12 1:13,0,0
5/2/12 1:14,0,0
5/2/12 1:15,0,0
5/2/12 1:16,0,0
5/2/12 1:17,0,0
5/2/12 1:18,0,0
5/2/12 1:19,0,0
5/2/12 1:20,0,0
5/2/12 1:21,0,0
5/2/12 1:22,0,0
5/2/12 1:23,0,0
5/2/12 1:24,0,0
5/2/12 1:25,0,0
5/2/12 1:26,0,0
5/2/12 1:27,0,0
5/2/12 1:28,0,0
5/2/12 1:29,0,0
5/2/12 1:30,0,0
5/2/12 1:31,0,0
5/2/12 1:32,0,0
5/2/12 1:33,0,0
5/2/12 1:34,0,0
5/2/12 1:35,0,0
5/2/12 1:36,0,0
5/2/12 1:37,0,0
5/2/12 1:38,0,0
5/2/12 1:39,0,0
5/2/12 1:40,0,0
5/2/12 1:41,0,0
5/2/12 1:42,0,0
5/2/12 1:43,0,0
5/2/12 1:44,0,0
5/2/12 1:45,0,0
5/2/12 1:46,0,0
5/2/12 1:47,0,0
5/2/12 1:48,0,0
5/2/12 1:49,0,0
5/2/12 1:50,0,0
5/2/12 1:51,0,0
5/2/12 1:52,0,0
5/2/12 1:53,0,0
5/2/12 1:54,0,0
5/2/12 1:55,0,0
5/2/12 1:56,0,0
5/2/12 1:57,0,0
5/2/12 1:58,0,0
5/2/12 1:59,0,0
5/2/12 2:00,0,0
5/2/12 2:01,0,0
